虚	215553
防	215028
追	214670
银	214490
床	214478
唱	214438
归	214010
泪	213378
吸	212546
伯	212319
译	212189
范	212116
温	211760
挥	211656
救	211498
检	211480
替	211116
祖	211018
份	210811
麻	209814
眉	209608
阴	209299
描	208833
毕	208768
增	208700
良	207997
互	207963
伸	207386
雅	206661
预	206307
盘	206276
革	205957
秦	205481
熟	204301
园	203763
柔	202725
险	202560
骑	202521
股	202496
析	202438
禁	201906
阶	201904
逃	201726
猛	201236
征	200593
州	200145
灭	199812
担	199533
医	198622
藏	198554
警	198271
乡	198252
副	198195
啦	198082
野	197642
承	197173
拍	196464
秘	196010
陆	195230
喊	194920
项	194900
骂	194795
养	194368
寒	193705
婚	193688
恨	193432
混	192178
架	191978
呆	191741
弹	191657
宇	191440
丁	191246
懂	191037
败	190849
普	190689
甲	190527
协	190512
晓	190287
迷	189880
善	189730
墙	189590
亦	189557
移	189110
绿	188970
凌	188597
曼	188513
卡	188412
执	186594
烦	186505
抓	185350
献	185331
察	185061
宫	184881
智	183878
投	183783
硬	183749
田	183674
闲	183633
厉	183614
趣	183532
介	183508
瑞	182475
亡	182115
宣	182064
牛	181827
借	180884
释	180625
叔	180420
抬	180365
摆	180278
弱	179292
偷	178910
误	178492
脱	178448
寻	178280
宗	178127
案	177881
富	177808
握	176903
紫	176650
罪	176429
悲	175464
评	174397
抽	174300
敬	174179
店	173584
食	173478
湖	173183
药	173065
载	172532
徐	172472
付	172079
朱	171949
材	171773
摸	171361
扬	171139
尚	170996
狗	170764
圆	170523
琴	170499
仁	170160
峰	170111
震	169557
鼓	168550
魂	168390
姓	168292
坚	167809
骨	167309
午	166929
省	166651
糊	166350
施	165475
欲	165215
透	165046
探	165011
惜	164993
鲁	164942
托	164937
洞	164762
临	164748
营	164616
缺	164286
芳	163470
牙	163252
绍	163062
虑	163029
择	162179
雄	161919
盖	161728
柳	161010
辑	160806
洗	160236
佩	159900
录	159720
婆	159378
孔	159243
迎	158661
升	158505
劲	158501
村	158371
巧	158284
迅	157966
尊	157302
偏	157188
菜	157126
套	156313
党	156056
妙	155618
烧	155466
萧	155023
横	154844
避	154370
挂	153948
批	153780
函	153633
职	153503
灰	153318
拥	152784
闭	152752
育	152208
胸	152206
浪	152135
拜	152007
怜	151448
尤	151372
欧	151163
休	151015
狠	150895
腿	150758
勇	150724
哼	150341
辈	150130
纷	150042
牌	149285
占	149252
妖	149182
策	149138
羽	148555
危	148538
袋	147998
获	147752
符	147704
夏	147313
伟	147022
