pin d  ch rank
cit 3  澈 3335
cit 3  轍 4194
cit 3  踅 5672
ciu    超 0680
ciu    昭 2198
ciu    釗 2741
ciu    鍬 3949
ciu    怊 5733
ciu    幧 6651
ciu    繰 6845
ciu 2  悄 1790
ciu 2  愀 7109
ciu 3  肖 2199
ciu 3  峭 3169
ciu 3  鞘 3198
ciu 3  俏 3779
ciu 3  帩 5305
ciu 3  誚 6005
ciu 4  朝 0543
ciu 4  潮 1121
ciu 4  瞧 2008
ciu 4  樵 4004
ciu 4  晁 4450
ciu 4  憔 4654
ciu 4  譙 6228
cor    初 0644
cor    雛 1939
cor    磋 3590
cor    芻 3727
cor    蹉 4802
cor    嵯 6100
cor 2  礎 0694
cor 2  楚 1137
cor 3  錯 0721
cor 3  挫 2382
cor 3  銼 3258
cor 4  鋤 2950
cor 4  鶵 4956
cor 4  矬 5631
cor 4  鉏 6256
cor 5  坐 0699
cek 3  桌 1487
cek 3  卓 2456
cek 3  灼 2901
cek 3  戳 3323
cek 3  焯 3442
cek 3  綽 3487
cek 3  鵲 4161
cek 3  芍 4494
cek 3  噱 5872
cek 3  倬 6061
cek 3  潟 6146
cek 3  婥 7103
ceg    槍 1027
ceg    昌 1224
ceg    窗 1368
ceg    倡 1766
ceg    猖 2854
ceg    囪 2944
ceg    羥 3074
ceg    嗆 3878
ceg    菖 4043
ceg    娼 4441
ceg    蹌 4740
ceg    鏘 4806
ceg    閶 5277
ceg    倀 5540
ceg    鯧 5702
ceg    錆 6534
ceg    蹡 6966
ceg    鎗 7104
che 2  搶 1509
che 3  唱 0802
che 3  暢 2052
che 3  悵 3865
che 3  瑒 4335
che 3  韔 6037
che 3  鬯 6279
che 3  熗 6752
che 4  長 0084
che 4  場 0317
che 4  牆 1501
che 4  祥 1518
che 4  詳 1603
che 4  腸 2040
che 4  墻 2120
che 4  翔 2543
che 4  薔 3702
che 4  庠 5216
che 4  檣 5438
che 4  戕 5574
che 4  萇 5985
che 4  嬙 6630
coi    啋 7110
coi 2  採 0352
coi 2  彩 1078
coi 2  采 1320
coi 2  睬 4093
coi 2  茞 5803
coi 2  寀 6333
coi 2  跴 7108
coi 2  綵 7111
coi 3  菜 0767
coi 3  賽 1005
coi 3  塞 1049
coi 3  蔡 2049
coi 3  縩 6455
coi 4  才 0346
coi 4  材 0548
coi 4  財 0619
coi 4  裁 1011
coi 4  纔 4459
cog    倉 1493
cog    蒼 2016
cog    艙 2397
cog    滄 3425
cog    瘡 3710
cog 2  廠 0474
cog 2  闖 2278
cog 2  敞 2698
cog 2  昶 3982
cog 2  氅 5598
cog 2  厂 5709
cog 2  惝 6664
cog 3  創 0645
cog 3  愴 4552
cog 4  藏 0909
cog 4  床 1058
cog 4  幢 3275
cog 4  橦 5593
cog 4  牀 7112
co     操 0908
co     粗 1134
co  2  草 0669
co  3  措 0961
co  3  燥 1593
co  3  醋 2175
co  3  噪 2551
co  3  糙 2784
co  3  躁 2949
co  3  慥 4653
co  3  厝 5547
co  3  酢 6523
co  3  譟 7113
co  4  槽 1577
co  4  曹 1827
co  4  嘈 3616
co  4  漕 3677
co  4  艚 5355
co  4  螬 6923
cuk    速 0313
cuk    促 0893
cuk    束 0962
cuk    畜 1423
cuk    蓄 1763
cuk    簇 3073
cuk    矗 3912
cuk    滀 4302
cuk    蹙 4568
cuk    搐 4658
cuk    簌 4674
cuk    蹴 5374
cuk    俶 5396
cuk    觫 6224
cuk    涑 6391
cuk    諔 6504
cuk    齪 6581
cuk    亍 6582
cuk    踧 6965
cug    充 0588
cug    沖 0952
cug    衝 1140
cug    蔥 2011
cug    聰 2432
cug    匆 2530
cug    忡 3760
cug    憧 4052
cug    璁 6166
cug    鏦 6265
cug    翀 7124
cug    蓯 7126
cug 2  寵 2840
cug 2  冢 4824
cug 2  塚 7123
cug 3  銃 5275
cug 4  從 0097
cug 4  重 0100
cug 4  蟲 1075
cug 4  松 1126
cug 4  叢 1981
cug 4  虫 3005
cug 4  淙 4090
cug 4  琮 6165
cug 4  藂 6482
cug 4  賨 6958
cu  4  躇 3837
cu  4  滁 4666
cu  4  躕 5100
cu  2  褚 4314
cu  2  楮 5231
cu  3  處 0257
cu  4  廚 2434
cu  4  櫥 3552
cu  5  柱 1190
cu  5  貯 1402
cu  5  儲 1548
cu  5  署 1659
cu  5  曙 3523
cu  5  佇 3735
cu  5  杵 4556
cu  5  紵 5476
cu  5  杼 5583
cue    村 0738
cue    穿 0866
cue    川 0982
cue    汆 3373
cue    氚 3415
cue    躥 5830
cue    釧 6252
cue    邨 7121
cue 2  喘 2621
cue 2  忖 4517
cue 2  舛 6203
cue 2  圌 6608
cue 3  寸 1261
cue 3  串 1691
cue 3  竄 2927
cue 3  惴 3902
cue 3  吋 4700
cue 3  攛 5139
cue 3  爨 6156
cue 4  全 0128
cue 4  傳 0344
cue 4  存 0448
cue 4  泉 1670
cue 4  醛 2092
cue 4  蹲 2287
cue 4  攢 3785
cue 4  荃 3793
cue 4  銓 4384
cue 4  痊 4525
cue 4  椽 4985
cue 4  筌 4999
cue 4  詮 5818
cue 4  欑 6719
cue 4  佺 7114
cue 4  恮 7115
cue 4  牷 7117
cue 4  輇 7120
cue 5  鱒 4578
cyt 3  撮 2999
cyt 3  咄 4137
cyt 3  猝 4599
cyt 3  捽 5577
dx     Ｄ 7149
da  2  打 0310
da  2  咑 6075
di  2  歹 3202
di  3  帶 0315
di  3  戴 1468
di  6  大 0012
di  6  汏 4776
di  6  軑 5515
dam    擔 0861
dam    耽 2892
dam    眈 3943
dam    儋 5544
dam    聃 5979
dam 2  膽 1602
dam 6  氮 1499
dam 6  髧 5284
dam 6  萏 5489
dam 6  澹 6741
dam 6  賧 6959
dan    單 0307
