pin d  ch rank
hei 2  豈 2104
hei 2  蟢 6927
hei 2  囍 7229
hei 3  氣 0154
hei 3  器 0277
hei 3  汽 0737
hei 3  戲 1556
hei 3  棄 1573
hei 3  憩 3412
hei 3  塈 4082
hei 3  餼 6556
hec 3  吃 0620
hec 3  喫 7230
hui    虛 1358
hui    吁 2569
hui    噓 3123
hui    墟 3658
hui    圩 3978
hui    訏 5373
hui    姁 6620
hui    歔 7246
hui 2  許 0361
hui 2  栩 3189
hui 2  煦 4780
hui 2  詡 5178
hui 2  昫 5904
hui 3  去 0101
him    謙 2375
him 2  險 1012
him 2  玁 4413
him 2  嶮 5048
him 2  獫 6769
him 3  欠 2408
him 3  芡 2831
him 3  慊 6351
hin    牽 1510
hin    縴 1600
hin    掀 2177
hin    軒 3227
hin    騫 4751
hin    愆 5736
hin    汧 5922
hin    搴 6118
hin    鶱 7058
hin    褰 7233
hin 2  顯 0515
hin 2  譴 2118
hin 2  遣 2145
hin 2  繾 5478
hin 2  蜆 5998
hin 3  憲 0920
hin 3  獻 1085
hig    輕 0490
hig    興 0605
hig    氫 0913
hig    兄 1513
hig    卿 2069
hig    馨 3690
hig 3  慶 0923
hig 3  磬 5162
hig 3  罄 5645
hig 3  謦 6951
hip 3  協 0712
hip 3  脅 1681
hip 3  歉 2826
hip 3  怯 3105
hip 3  愜 4910
hip 6  挾 3020
hip 6  勰 4507
hit 3  歇 2076
hit 3  蠍 4341
hit 3  蝎 7235
hiu    囂 2982
hiu    僥 3819
hiu    梟 4452
hiu    蹺 4882
hiu    嘵 5297
hiu    枵 5433
hiu    驍 5528
hiu    鴞 6283
hiu 2  曉 1495
hiu 3  竅 3486
hor    呵 1540
hor    苛 2521
hor    訶 3197
hor    坷 7389
hor 2  可 0036
hor 2  岢 6637
hor 2  嗬 7237
hor 4  何 0428
hor 4  河 0552
hor 4  荷 1055
hor 4  蚵 3749
hor 6  賀 1265
hoe  1 靴 3433
heu    香 0853
heu    鄉 0951
heu    薌 4148
heu 2  響 0415
heu 2  享 1628
heu 2  餉 2668
heu 2  晌 3106
heu 2  饗 6275
heu 2  响 7231
heu 2  嚮 7232
heu 2  饟 7385
heu 3  向 0156
heu 3  曏 5907
hoi    開 0106
hoi 2  海 0273
hoi 2  凱 0971
hoi 2  闓 3497
hoi 2  愷 3762
hoi 2  鎧 4624
hoi 2  剴 5402
hoi 2  醢 5837
hoi 2  磑 5960
hoi 4  頦 5280
hoi 6  害 0583
hoi 6  亥 2182
hoi 6  氦 2953
hok 3  殼 1438
hok 6  學 0058
hok 6  鶴 2918
hok 6  貉 4342
hok 6  翯 4423
hon    刊 1422
hon    頇 7014
hon 2  罕 2585
hon 2  侃 4348
hon 2  衎 6933
hon 3  看 0145
hon 3  漢 0624
hon 3  暵 6365
hon 3  熯 6753
hon 4  寒 1456
hon 4  韓 1718
hon 4  鼾 4325
hon 4  犴 6759
hon 4  邗 6975
hon 5  旱 1707
hon 5  捍 2886
hon 5  悍 3600
hon 6  汗 1263
hon 6  焊 2128
hon 6  翰 2792
hon 6  扞 3250
hon 6  瀚 4057
hon 6  睅 6803
hon 6  銲 7236
hog    康 1013
hog    腔 1787
hog    糠 2738
hog    筐 2985
hog    眶 3300
hog    匡 4078
hog    誆 5502
hog    洭 6388
hog 2  慷 3007
hog 3  烘 2028
hog 3  炕 2454
hog 4  航 0995
hog 4  杭 1907
hog 4  沆 5756
hog 6  項 0527
hog 6  巷 1832
hot 3  喝 1436
hot 3  褐 2260
hot 3  渴 2540
hot 3  曷 4714
hot 3  暍 6696
hot 3  鞨 7012
ho     蒿 3921
ho     薅 4794
ho     嚆 5039
ho  2  好 0104
ho  3  耗 1081
ho  3  犒 5453
ho  4  毫 0776
ho  4  豪 1732
ho  4  壕 3575
ho  4  蠔 4497
ho  4  嚎 4585
ho  4  嗥 5205
ho  4  濠 6402
ho  6  號 0441
ho  6  浩 1953
ho  6  灝 3870
ho  6  皓 4526
ho  6  昊 4841
ho  6  皞 6431
ho  6  淏 6731
ho  6  滈 6734
ho  6  顥 7017
huk    哭 1474
huk    勖 6070
huk    勗 7520
huk 6  酷 1845
huk 6  斛 3904
huk 6  縠 6453
huk 6  觳 6498
huk 6  槲 7247
hug    空 0354
hug    胸 1569
hug    凶 2212
hug    匈 2759
hug    洶 2801
hug    兇 2932
hug    崆 3824
hug    哅 5126
hug    箜 5341
hug    倥 5865
hug    悾 6108
hug 2  孔 0757
hug 2  恐 1531
hug 3  控 0683
hug 3  哄 2730
hug 3  汞 2818
hug 3  訌 5372
hug 3  澒 6147
hug 4  紅 0489
hug 4  雄 1104
hug 4  洪 1264
hug 4  鴻 1735
hug 4  熊 2025
hug 4  虹 2776
hug 4  蕻 5656
hug 4  葒 7243
hug 4  黌 7245
hug 6  鬨 7244
hue    圈 1080
hue    喧 3018
hue    萱 3496
hue    渲 3907
hue    棬 4843
hue    暄 5058
hue    烜 5610
hue    諠 6227
hue    弮 6656
hue    煖 7239
hue    禢 7241
hue    嬛 7478
hue 2  犬 3190
hue 2  畎 5779
hue 3  勸 1728
hue 3  券 3247
hue 3  絢 3464
hue 3  楦 3707
hue 3  禤 6816
hue 3  綣 7242
hyt 3  血 0807
Ｉ     Ｉ 7250
Ｊ     Ｊ 7285
ja     抓 0934
ja     咱 1407
ja     渣 2164
ja     咋 2713
ja     喳 3084
ja     吒 4508
ja     糌 4731
ja     髽 7035
ja     揸 7251
ja     砟 7254
ja  2  鮓 6042
ja  3  炸 1331
ja  3  詐 2568
ja  3  榨 2642
ja  3  乍 2975
ja  3  搾 4208
ja  3  蚱 5494
ja  3  溠 6735
ja  3  痄 7253
ja  3  煠 7412
ja  6  柞 4661
jih    齋 2595
jih 3  債 1930
jih 3  瘵 6794
jih 6  寨 1039
jih 6  豸 5508
jih 6  砦 6437
jak 3  責 0659
jak 3  窄 2138
jak 3  嘖 3879
jak 3  磧 4146
jak 6  澤 1032
jak 6  擇 1083
jak 6  摘 1991
jak 6  擲 1992
jak 6  宅 2334
jak 6  躑 3993
jak 6  謫 4941
jak 6  擢 5055
jak 6  磔 5337
jam    簪 4788
jam 2  斬 2526
jam 2  嶄 2797
jam 2  眨 3047
jam 3  蘸 3313
jam 3  湛 3388
jam 6  站 0660
jam 6  暫 1592
jam 6  蹔 6513
jam 6  鏨 6996
jan    琖 5620
jan 2  盞 2862
jan 2  棧 3722
jan 2  趲 5670
jan 2  昝 6693
jan 3  讚 1554
jan 3  贊 1730
jan 3  瓚 4667
jan 3  酇 6980
jan 6  賺 2881
jan 6  撰 3003
jan 6  綻 3713
jan 6  攥 4354
jan 6  饌 4630
jan 6  譔 6008
jag    睜 2343
jag    箏 3336
jag    錚 4100
jag    猙 4721
jag    諍 5179
jag    崢 5566
jag    踭 7252
jap 3  砸 2600
jap 3  匝 3473
jap 6  集 0358
jap 6  習 0413
jap 6  雜 0631
jap 6  襲 1703
jap 6  閘 2208
jap 6  鰼 5390
jap 6  隰 6549
jap 6  嶍 6643
jad 3  軋 1273
jad 3  扎 1346
jad 3  紮 2619
jad 3  札 3524
jad 3  鍘 4025
jad 3  拶 6113
jao    嘲 2822
jao 2  找 0687
jao 2  爪 2628
jao 2  肘 3151
jao 2  帚 3695
jao 3  罩 2010
jao 3  笊 5340
jao 6  驟 1867
jao 6  櫂 5595
jai    劑 0709
jai    擠 1572
jai    齎 4201
jai    躋 5182
jai    齏 6053
jai 2  仔 1782
jai 3  制 0110
jai 3  濟 0283
jai 3  際 0391
jai 3  製 0830
jai 3  祭 2465
jai 3  掣 4001
jai 3  穄 4147
jai 3  霽 5385
jai 3  狾 6762
jai 6  滯 2520
jac    則 0250
jac    側 1037
jac    仄 5120
jac    昃 7255
jac    鰂 7256
jum    針 0798
jum    砧 3361
jum    斟 3522
jum    祲 4859
jum    箴 5075
jum    瑊 6777
jum 2  怎 0561
jum 2  枕 2744
jum 3  浸 1669
jum 6  朕 2962
jum 6  鴆 6045
jen    真 0321
jen    珍 1486
jen    禛 6442
jen    胗 6464
jen 2  稹 4998
jen 2  縝 5079
jen 2  軫 5376
jen 2  畛 6170
jen 2  鬒 7038
jen 3  振 0918
jen 3  鎮 0992
jen 3  震 1375
jen 3  圳 4642
jen 3  賑 7257
jen 6  陣 1097
jag    增 0281
jag    爭 0282
jag    掙 2256
jag    僧 2786
jag    憎 3043
jag    矰 6178
jag    繒 6456
jag    罾 6854
jag 6  贈 2438
jag 6  甑 4723
jup    執 0865
jup    汁 1917
jup    縶 6844
jat    質 0153
jat    鑕 4685
jat    騭 7029
jat 6  疾 1808
jat 6  蛭 2957
jat 6  侄 2969
jat 6  窒 3100
jat 6  嫉 3598
jat 6  桎 4173
jat 6  蒺 4425
jat 6  厔 4825
jat 6  郅 4944
jat 6  蟄 5262
jat 6  銍 5682
jat 6  姪 7258
jau    周 0439
jau    州 0684
jau    洲 0753
jau    舟 1449
jau    週 1794
jau    鄒 2903
jau    揪 3031
jau    啁 4259
jau    湫 4270
jau    啾 4512
jau    盩 4857
jau    謅 4879
jau    掫 5893
jau    輈 6241
jau    鄹 6522
jau    諏 6949
jau    譸 6952
jau    鵃 7050
jau 2  走 0329
jau 2  酒 0787
jau 3  奏 0987
jau 3  皺 2051
jau 3  晝 2552
jau 3  咒 2884
jau 3  縐 3746
jau 3  揍 4299
jau 3  甃 7100
jau 6  就 0030
jau 6  袖 1412
jau 6  宙 2206
jau 6  紂 4125
jau 6  鷲 4389
jau 6  冑 4434
jau 6  僦 4759
jau 6  岫 5727
je     遮 2303
je     嗟 4394
je     啫 7260
je  2  者 0175
je  2  姐 1374
je  2  鍺 4024
je  2  赭 4098
je  3  借 1067
je  3  蔗 2423
je  3  柘 5230
je  3  鷓 6048
je  5  這 0010
je  6  謝 1141
je  6  榭 4589
jec    唧 2874
jec 3  脊 2514
jec 3  炙 3909
jec 3  跖 5671
jec 3  摭 5895
jec 3  隻 7264
jec 6  蓆 7263
jeg 2  井 0883
jeg 2  汫 6385
jeg 2  丼 7141
jeg 6  鄭 1532
jeg 6  凈 7265
jui    追 1101
jui    錐 1849
jui    椎 4141
jui    疽 4927
jui    趄 5017
jui    菹 5488
jui    狙 5613
jui    苴 6469
jui    騅 6562
jui    隹 7280
jui 2  嘴 1194
jui 2  觜 3449
jui 2  咀 3755
jui 2  沮 4591
jui 2  齟 5862
jui 3  最 0176
jui 3  醉 2152
jui 3  綴 3225
jui 3  贅 3992
jui 3  檇 6133
jui 3  晬 6695
jui 3  蕞 7279
jui 6  罪 0517
jui 6  聚 0736
jui 6  序 0791
jui 6  敘 1854
jui 6  墜 3131
jui 6  縋 5971
jun    津 1272
jun    遵 1489
jun    臻 3608
jun    榛 4715
jun    蓁 5989
jun    溱 6396
jun    肫 6862
jun    樽 7284
jun 2  準 0488
jun 2  准 1506
jun 2  贐 4942
jun 2  藎 5258
jun 2  埻 6317
jun 2  隼 7007
jun 3  進 0067
jun 3  晉 1879
jun 3  俊 2376
jun 3  峻 2501
jun 3  駿 3016
jun 3  竣 3402
jun 3  浚 3459
jun 3  縉 5251
jun 3  餕 5696
jun 3  璡 5945
jun 6  盡 0666
jun 6  燼 4522
jun 6  濜 5240
jun 6  儘 7283
jot    卒 2924
jot    怵 5050
jot    崒 6640
jee    之 0066
jee    資 0212
jee    知 0222
jee    支 0417
jee    脂 1120
jee    枝 1388
jee    姿 1938
jee    咨 1984
jee    滋 2123
jee    芝 2229
jee    茲 2396
jee    肢 2603
jee    吱 3006
jee    孜 3158
jee    恣 3478
jee    輜 3730
jee    淄 4143
jee    貲 4315
jee    蜘 4375
jee    祗 4417
jee    梔 4451
jee    鯔 4753
jee    髭 5285
jee    緇 5346
jee    齜 5393
jee    孳 5562
jee    榰 5589
jee    甾 5948
jee    鎡 6033
jee    鼒 6052
jee    菑 6209
jee    錙 6260
jee    呲 6306
jee    嵫 6337
jee    卮 6595
jee    諮 7261
ji  2  子 0047
ji  2  只 0163
ji  2  指 0237
ji  2  止 0562
ji  2  紙 0792
ji  2  紫 1553
ji  2  酯 1890
ji  2  旨 1934
ji  2  址 2226
ji  2  籽 2325
ji  2  姊 3079
ji  2  祇 3099
ji  2  趾 3512
ji  2  訾 3609
ji  2  軹 3687
ji  2  梓 3962
ji  2  咫 4476
ji  2  祉 4529
ji  2  芷 4615
ji  2  滓 4665
ji  2  秭 4997
ji  2  沚 5063
ji  2  耔 5253
ji  2  坁 6610
ji  2  黹 7067
ji  3  志 0301
ji  3  至 0327
ji  3  置 0465
ji  3  致 0637
ji  3  智 1457
ji  3  誌 1636
ji  3  緻 1878
ji  3  漬 2920
ji  3  摯 3233
ji  3  贄 3836
ji  3  痣 5158
ji  3  鷙 6049
ji  3  躓 6514
ji  3  疐 6784
ji  3  觶 6946
ji  3  輊 7268
ji  5  雉 3859
ji  6  自 0079
ji  6  治 0265
ji  6  字 0547
ji  6  飼 1051
ji  6  寺 1864
ji  6  嗣 2771
ji  6  稚 2946
ji  6  伺 3273
ji  6  庤 3353
ji  6  祀 3527
ji  6  巳 4297
ji  6  笥 4863
ji  6  痔 5330
ji  6  彘 5731
ji  6  兕 5868
ji  6  涘 6141
ji  6  眥 6433
ji  6  耜 6860
jik    即 0263
jik    積 0330
jik    織 0379
jik    職 0623
jik    跡 1215
jik    績 1334
jik    蹟 2115
jik    鯽 3339
jik    稷 3913
jik    陟 5022
jik    勣 5708
jik    踖 6964
jik 3  瘠 3628
jik 3  蹠 3923
jik 3  蹐 6012
jik 3  鶺 6574
jik 6  直 0183
jik 6  值 0437
jik 6  席 0520
jik 6  植 0781
jik 6  殖 0979
jik 6  籍 1619
jik 6  夕 2097
jik 6  寂 2240
jik 6  藉 2620
jik 6  矽 3789
jik 6  汐 4407
jik 6  稙 5633
jik 6  埴 5716
jim    尖 1337
jim    沾 2409
jim    瞻 3223
jim    詹 3418
jim    譫 6230
jim    臢 6870
jim    覘 6944
jim    霑 7269
jim 2  颭 7019
jim 3  佔 0634
jim 3  占 2709
jim 6  漸 0821
jin    濺 2868
jin    煎 2869
jin    氈 3045
jin    戔 3276
jin    箋 3280
jin    湔 5929
jin    旃 6120
jin    韉 6273
jin    揃 6357
jin    羶 7270
jin 2  展 0187
jin 2  剪 1764
jin 2  戩 3397
jin 2  輾 3631
jin 2  翦 4422
jin 2  搌 6117
jin 2  譾 6231
jin 3  戰 0248
jin 3  箭 2038
jin 3  顫 2264
jin 3  荐 2908
jin 3  薦 2956
jin 3  餞 3407
jin 3  牮 6757
jin 6  賤 2660
jig    精 0435
jig    晶 0942
jig    蒸 0977
jig    徵 1150
jig    睛 1223
jig    征 1497
jig    偵 1625
jig    貞 2452
jig    怔 3112
jig    禎 3162
jig    楨 3808
jig    箐 3850
jig    鉦 4071
jig    烝 5241
jig    湞 6393
jig    鶄 7052
jig 2  整 0353
jig 3  政 0118
jig 3  正 0140
jig 3  證 0298
jig 3  症 1838
jig 3  幀 3492
jig 3  証 7267
jig 4  陘 5848
jig 6  靜 0894
jig 6  淨 1222
jig 6  剩 1397
jig 6  靖 2987
jig 6  凊 4698
jig 6  婧 4767
jig 6  阱 4810
jip 3  接 0221
jip 3  輒 3651
jip 3  楫 4405
jip 3  倢 5198
jip 3  囁 5554
jip 3  摺 5741
jip 3  讋 6010
jit    櫛 4330
jit 3  節 0349
jit 3  折 1050
jit 3  哲 1330
jit 3  浙 1643
jit 3  蜇 2879
jit 3  婕 4906
jit 3  疌 5624
jit 3  癤 6174
jit 6  截 1214
jit 6  捷 2204
jit 6  睫 4063
jiu    招 1174
jiu    焦 1415
jiu    椒 2241
jiu    礁 2273
jiu    蕉 2941
jiu    僬 4823
jiu    鷦 5194
jiu 2  剿 2994
jiu 2  沼 3046
jiu 3  照 0487
jiu 3  詔 2451
jiu 3  皭 5465
jiu 3  曌 6124
jiu 3  醮 6526
jiu 3  炤 6748
jiu 6  趙 0966
jiu 6  召 1006
jor 2  左 0580
jor 2  阻 0775
jor 2  俎 5123
jor 2  咗 7276
jor 3  佐 2187
jor 3  詛 3581
jor 6  助 0641
jor 6  座 0931
jor 6  唑 4234
jek 3  雀 2700
jek 3  爵 2809
jek 3  酌 2959
jek 3  嚼 3029
jek 3  斮 5899
jek 3  妁 6094
jek 3  斫 6361
jek 6  爝 6756
che    張 0345
jeu    章 0581
jeu    漿 1399
jeu    璋 2810
jeu    彰 2906
jeu    樟 3414
jeu    漳 4521
jeu    鄣 5102
jeu    蟑 6000
jeu    獐 6160
jeu 2  掌 0823
jeu 2  獎 1425
jeu 2  蔣 1751
jeu 2  槳 3277
jeu 2  仉 5536
jeu 3  將 0224
jeu 3  障 1298
jeu 3  脹 1811
jeu 3  漲 1897
jeu 3  帳 1931
jeu 3  醬 2045
jeu 3  賬 2160
jeu 3  瘴 4724
jeu 3  幛 4769
jeu 3  嶂 5303
jeu 6  象 0191
jeu 6  像 1277
jeu 6  橡 1595
jeu 6  丈 1748
jeu 6  仗 1903
jeu 6  匠 2406
jeu 6  杖 3180
jeu 6  蟓 5367
joi    災 1448
joi    栽 1724
joi    哉 3248
joi 2  宰 2498
joi 2  崽 3424
joi 3  再 0304
joi 3  載 0695
joi 6  在 0004
jok 3  作 0028
jok 6  昨 1835
jok 6  鑿 2211
jok 6  濯 4991
jok 6  浞 5448
jok 6  怍 6348
jog    裝 0380
jog    莊 1231
jog    髒 1824
jog    樁 2762
jog    贓 2824
jog    臧 3139
jog    妝 3306
jog    奘 4644
jog    牂 6415
jog    粧 6450
jog    庄 7274
jog 3  壯 1355
jog 3  葬 2162
jog 6  狀 0472
jog 6  撞 1791
jog 6  臟 7275
jo     遭 1178
jo     租 1585
jo     糟 2354
jo     蹧 7273
jo  2  組 0225
jo  2  早 0582
jo  2  祖 0890
jo  2  藻 2447
jo  2  棗 2798
jo  2  澡 3426
jo  2  蚤 4536
jo  2  璪 5622
jo  3  灶 2462
jo  6  做 0246
jo  6  造 0267
jo  6  皂 2573
jo  6  祚 3579
jo  6  簉 6185
jo  6  阼 7003
juk    足 0595
juk    觸 0928
juk    築 1060
juk    竹 1391
juk    祝 1642
juk    捉 1908
juk    囑 2564
juk    蠋 2648
juk    粥 3004
juk    竺 3193
juk    矚 4308
juk    柷 5910
juk    瘃 6791
juk    燭 7281
juk    筑 7282
juk 6  族 0442
juk 6  續 0584
juk 6  軸 0686
juk 6  逐 0729
juk 6  俗 1784
juk 6  濁 2269
juk 6  躅 3268
juk 6  鐲 4046
juk 6  鏃 6264
juk 6  舳 6873
juk 6  藚 6909
jug    中 0011
jug    終 0735
jug    鐘 0897
jug    宗 0980
jug    綜 1172
jug    忠 1504
jug    蹤 2413
jug    衷 2560
jug    鍾 2586
jug    棕 2662
jug    盅 3969
jug    鬃 4133
jug    舂 5006
jug    螽 6488
jug    舯 6872
jug 2  種 0050
jug 2  總 0198
jug 2  腫 2389
jug 2  粽 3915
jug 2  摠 5578
jug 2  傯 6063
jug 2  熜 6409
jug 2  糉 7278
jug 3  眾 0386
jug 3  縱 1260
jug 3  瘲 6795
jug 6  訟 1452
jug 6  仲 1480
jug 6  頌 2112
jug 6  誦 2764
ju     豬 1113
ju     朱 1129
ju     株 1316
ju     珠 1385
ju     諸 1441
ju     誅 3267
ju     蛛 3815
ju     銖 4621
ju     侏 4697
ju     櫧 5062
ju     瀦 5765
ju     茱 5802
ju     櫫 6718
ju     邾 6976
ju     硃 7277
ju 2   主 0037
ju 2   煮 1837
ju 2   麈 4324
ju 2   渚 4594
ju 3   注 0549
ju 3   著 0828
ju 3   駐 1207
ju 3   鑄 1325
ju 3   蛀 4149
ju 3   註 4465
ju 3   箸 5000
ju 3   炷 5934
ju 3   疰 6172
ju 3   翥 6858
ju 3   着 7262
ju 6   住 0483
jue    專 0471
jue    尊 1366
jue    磚 1584
jue    顓 5524
jue 2  轉 0305
jue 2  纂 3971
jue 2  撙 4659
jue 2  纘 4864
jue 2  囀 5713
jue 3  鑽 1295
jyt    剟 4436
jyt 3  茁 3918
jyt 3  掇 4088
jyt 3  絀 4611
jyt 3  輟 4742
jyt 3  啜 5034
jyt 3  梲 5434
jyt 3  錣 6535
jyt 6  絕 0706
jyt 6  拙 3638
jyt 6  黜 4135
Ｋ     Ｋ 7309
ka     卡 1059
ka     咔 7286
ki  2  鍇 5843
kak    緙 4934
kad    咭 5204
kao 3  靠 0730
kao 3  銬 3797
kai    溪 1979
kai    稽 3182
kai    嵇 4516
kai    磎 5161
kai    谿 6506
kai    鸂 7060
kai 2  啟 1336
kai 2  棨 4267
kai 3  契 2143
kai 3  瘈 6429
kai 3  愒 7234
kum    襟 2973
kum    衾 6003
kum 2  冚 7301
kum 4  琴 1381
kum 4  禽 2165
kum 4  擒 3506
kum 4  噙 4513
kum 4  芩 6885
kum 5  妗 5877
kun 4  勤 1414
kun 4  芹 3393
kun 4  懃 6672
kup    級 0216
kup    給 0255
kup    吸 0639
kup    岌 2346
kup    笈 3629
kup    汲 3723
kup    圾 3758
kup    歙 4590
kup 6  及 0204
kat    咳 2704
kat    欬 6720
kau    溝 1392
kau    摳 4449
kau 3  構 0431
kau 3  購 1143
kau 3  扣 1747
kau 3  寇 2727
kau 3  筘 3374
kau 3  叩 3410
kau 3  佝 5032
kau 3  蔻 5492
kau 3  釦 7290
kau 4  求 0208
kau 4  球 0530
kau 4  巰 3320
kau 4  裘 3330
kau 4  璆 4362
kau 4  俅 4758
kau 4  訄 4874
kau 4  犰 5771
kau 4  虯 6213
kau 4  賕 6235
kau 4  艽 6878
kau 4  梂 7288
kau 4  逑 7289
kau 5  舅 2541
kau 5  臼 4535
ke  4  騎 1980
ke  4  茄 2864
ke  4  瘸 5628
kei    畸 3070
kei    崎 3262
kei    攲 6119
kei 3  冀 2680
kei 3  驥 3733
kei 3  暨 4171
kei 4  其 0112
kei 4  期 0232
kei 4  奇 0958
kei 4  旗 1114
kei 4  棋 1675
kei 4  歧 2417
kei 4  祁 2436
kei 4  岐 2796
kei 4  祺 2819
kei 4  琪 2870
kei 4  琦 3009
kei 4  祈 3555
kei 4  俟 3612
kei 4  鰭 3666
kei 4  耆 3682
kei 4  淇 3832
kei 4  鯕 4228
kei 4  頎 4345
kei 4  綦 4732
kei 4  亓 4756
kei 4  蘄 4796
kei 4  圻 4829
kei 4  碁 4996
kei 4  麒 5028
kei 4  騏 5698
kei 4  埼 5718
kei 4  旂 6690
kei 4  蜞 6919
kei 4  萁 7189
kei 5  企 0522
kec 6  劇 0964
kec 6  屐 4351
kui    區 0240
kui    驅 1664
kui    拘 2107
kui    俱 2307
kui    軀 2832
kui    嶇 3637
kui    駒 4387
kui    祛 4786
kui    佉 5537
kui    胠 6463
kui 4  渠 1804
kui 4  衢 4191
kui 4  鴝 4895
kui 4  籧 5967
kui 4  朐 6126
kui 4  氍 6139
kui 4  璩 6168
kui 4  劬 6301
kui 4  磲 6812
kui 4  蕖 6901
kui 5  距 0742
kui 5  拒 1704
kui 5  佢 7300
kim 4  鉗 2439
kim 4  黔 3109
kim 4  鈐 4502
kim 4  拑 7296
kim 4  箝 7297
kin 4  虔 3972
kin 4  掮 5426
kig    傾 1133
kig 2  頃 2405
kig 2  廎 5888
kig 4  瓊 2458
kig 4  鯨 3340
kig 4  擎 4002
kig 4  黥 4101
kig 4  勍 5546
kig 4  煢 5935
kig 4  墘 6320
kig 4  琼 7294
kit 3  揭 1167
kit 3  竭 2155
kit 3  鍥 3688
kit 3  碣 4728
kit 3  孑 4832
kit 3  挈 4839
kit 3  纈 5644
kit 3  訐 5667
kit 3  羯 5792
kit 3  楬 6129
kiu 4  橋 1170
kiu 4  僑 1719
kiu 4  喬 1978
kiu 4  翹 2929
kiu 4  蕎 4312
kiu 4  礄 5247
kek 3  卻 0470
keu 4  強 0241
keu 5  弶 6344
keu 5  襁 6494
keu 5  鏹 7293
keu 6  膙 6869
koi 3  概 0884
koi 3  鈣 1780
koi 3  溉 2170
koi 3  慨 2233
koi 3  丐 4202
koi 3  愾 5310
kok 3  確 0342
kok 3  壑 3423
kok 3  榷 3983
kok 3  涸 4038
kok 3  恪 4909
kok 3  愨 6668
kok 3  确 7299
kog 3  抗 0646
kog 3  擴 0783
kog 3  亢 4029
kog 3  鈧 5840
kog 3  伉 5863
kog 3  夼 5876
kog 3  閌 6999
kog 4  狂 1631
ku     箍 3301
kui 2  繪 1693
kui 2  潰 2419
kui 2  賄 2707
kui 2  檜 3866
kui 2  劊 3899
kui 2  澮 4117
kui 2  膾 4678
kui 2  薈 5257
kui 2  儈 5543
kui 2  憒 5892
kui 2  繢 5972
kui 2  獪 6162
kui 2  聵 6199
kui 2  鄶 6979
kui 2  鱠 7047
kuk    曲 0608
kuk    蛐 5174
kug 4  窮 1390
kug 4  邛 4381
kug 4  穹 4862
kug 4  蛩 6483
kug 4  銎 6988
kut 3  括 0755
kut 3  豁 3205
kut 3  聒 5980
kut 3  栝 6709
kwa    跨 1431
kwa    誇 2448
kwa    垮 2581
kwa    夸 3804
kwa    姱 6326
kwa 2  侉 3752
kwa 3  胯 4614
kwi 3  嘳 7213
kag    框 1792
kwa    規 0269
kwa    虧 1786
kwa    窺 3119
kwa    盔 4008
kwa    睽 4995
kwa    巋 6342
kwa 2  跬 6511
kwa 3  愧 2639
kwa 4  攜 2369
kwa 4  葵 3430
kwa 4  夔 3780
kwa 4  畦 3941
kwa 4  揆 4710
kwa 4  馗 5189
kwa 4  逵 5377
kwa 4  騤 5527
kwa 4  暌 5581
kwa 4  蠵 6220
kwa 4  觿 6499
kun    昆 1914
kun    坤 3103
kun    髡 3542
kun    崑 4262
kun 2  菌 1016
kun 2  捆 2697
kun 2  綑 5477
kun 2  悃 6349
kun 2  捃 6355
kun 2  閫 6543
kun 2  梱 7306
kun 3  困 0877
kun 3  窘 3726
kun 3  睏 5332
kun 4  群 0363
kun 4  裙 2847
kun 4  宭 6632
kun 4  羣 7308
kog 3  礦 0402
kog 3  曠 2860
kog 3  鄺 4382
kog 3  壙 5723
kue 4  權 0296
kue 4  拳 2148
kue 4  蜷 4376
kue 4  顴 5105
kue 4  鬈 5109
kue 4  惓 5890
kyt 3  決 0243
kyt 3  缺 0795
kyt 3  訣 3405
kyt 3  厥 3573
kyt 3  獗 3625
kyt 3  闕 3665
kyt 3  撅 4588
kyt 3  闋 4809
kyt 3  噘 4828
kyt 3  抉 4838
kyt 3  玦 5066
kyt 3  蕨 5991
kyt 3  譎 6007
kyt 3  鴃 6572
kyt 3  觼 7295
kyt 3  孓 7302
lx     Ｌ 7348
la     啦 1238
la     喇 2587
la     鞡 7011
la  3  罅 6848
li     拉 0372
li  3  癩 4336
li  6  賴 1825
li  6  酹 5019
li  6  籟 5077
li  6  瀨 5609
lak 3  嘞 7313
lam 2  攬 2800
lam 4  藍 1348
lam 4  籃 2443
lam 4  嵐 3475
lam 4  婪 3720
lam 4  襤 4682
lam 5  覽 1958
lam 5  欖 7314
lam 6  艦 1588
lam 6  纜 1990
lam 6  濫 2327
lan    躝 7315
lan 2  讕 5505
lan 4  蘭 0859
lan 4  欄 1398
lan 4  攔 2184
lan 4  瀾 2939
lan 4  闌 4074
lan 4  鑭 5276
lan 4  斕 5428
lan 4  襴 6942
lan 5  懶 2841
lan 6  爛 1583
lag 5  冷 0704
lap 6  蠟 1651
lap 6  臘 2004
lap 6  蜡 3120
lap 6  垃 3740
lap 6  鑞 4808
lap 6  邋 6246
lap 6  鱲 7316
lad 3  瘌 5627
lad 6  辣 2149
lad 6  剌 4393
lad 6  鬎 6276
lai 4  黎 1294
lai 4  犁 2117
lai 4  藜 4680
lai 4  蔾 5172
lai 4  黧 7066
lai 4  嚟 7311
lai 5  禮 1403
lai 5  澧 3033
lai 5  蠡 3991
lai 5  醴 4285
lai 5  鱧 4814
lai 5  劙 6591
lai 6  例 0320
lai 6  麗 1429
lai 6  勵 1444
