jyut  ,rank,ch
cai1  ,4359,沏
cai1  ,5735,悽
cai1  ,6023,郪
cai1  ,7098,凄
cai3  ,1865,砌
cai4  ,0973,齊
cai4  ,4462,薺
cai4  ,6219,蠐
cai5  ,5190,鮆
cai5  ,6044,鱭
cam1  ,0763,侵
cam1  ,4892,駸
cam1  ,5914,棽
cam2  ,3143,寢
cam2  ,6180,磣
cam3  ,6080,唚
cam3  ,6229,譖
cam4  ,0863,沉
cam4  ,1522,尋
cam4  ,5148,潯
cam4  ,5391,鱘
cam4  ,5427,撏
cam4  ,5767,灊
cam4  ,6481,蕁
cam5  ,5087,蕈
can1  ,0450,親
can1  ,4396,嗔
can1  ,6806,瞋
can2  ,2427,診
can2  ,4554,抻
can2  ,5440,殄
can2  ,5461,疢
can2  ,5662,袗
can2  ,5869,哂
can2  ,5949,疹
can2  ,6436,矧
can3  ,2166,襯
can3  ,2385,趁
can3  ,6376,櫬
can3  ,6579,齔
can4  ,0714,陳
can4  ,1165,塵
cang1 ,3950,鐺
cang1 ,6085,噌
cang4 ,0467,層
cang4 ,0635,曾
cang4 ,6644,嶒
cap1  ,1758,輯
cap1  ,2972,緝
cap1  ,4837,戢
cap1  ,5085,葺
cap1  ,5808,蕺
cat1  ,0272,七
cat1  ,1709,漆
cat1  ,5586,桼
cat1  ,6704,柒
cau1  ,0912,秋
cau1  ,1095,抽
cau1  ,5319,楸
cau1  ,5343,篘
cau1  ,5703,鰍
cau1  ,5851,鞦
cau1  ,5988,萩
cau1  ,6191,紬
cau1  ,7099,偢
cau2  ,2442,醜
cau2  ,2814,瞅
cau2  ,3176,丑
cau2  ,5584,杻
cau3  ,2201,臭
cau3  ,2268,湊
cau3  ,2519,溴
cau3  ,3156,嗅
cau3  ,5789,糗
cau3  ,6725,殠
cau3  ,6972,輳
cau4  ,1701,籌
cau4  ,2022,酬
cau4  ,2219,綢
cau4  ,2410,疇
cau4  ,2689,稠
cau4  ,3094,囚
cau4  ,3716,躊
cau4  ,3731,酋
cau4  ,4651,惆
cau4  ,4803,遒
cau4  ,5090,蝤
cau4  ,5443,泅
cau4  ,6004,裯
cau4  ,6232,讎
cau4  ,6586,儔
cau4  ,6758,犨
ce1   ,0319,車
ce1   ,3052,奢
ce1   ,6810,硨
ce1   ,7101,唓
ce2   ,0366,且
ce2   ,2122,扯
ce2   ,3861,哆
ce4   ,1045,斜
ce4   ,2538,邪
ce4   ,7102,輋
ce6   ,6747,灺
cek3  ,1100,尺
cek3  ,1472,赤
cek3  ,5202,呎
ceoi1 ,1188,吹
ceoi1 ,1393,催
ceoi1 ,1652,趨
ceoi1 ,2110,摧
ceoi1 ,2844,炊
ceoi1 ,2990,崔
ceoi1 ,4463,蛆
ceoi1 ,4602,璀
ceoi2 ,0252,取
ceoi2 ,2977,娶
ceoi2 ,3586,揣
ceoi3 ,1533,趣
ceoi3 ,1894,脆
ceoi3 ,2234,翠
ceoi3 ,3416,淬
ceoi3 ,4873,覷
ceoi3 ,4932,綷
ceoi3 ,5295,啐
ceoi3 ,5437,橇
ceoi4 ,0429,除
ceoi4 ,0503,隨
ceoi4 ,1179,徐
ceoi4 ,2298,錘
ceoi4 ,2838,隋
ceoi4 ,3620,捶
ceoi4 ,4357,槌
ceoi4 ,6217,蜍
ceoi4 ,6714,棰
ceoi4 ,6827,箠
ceoi4 ,6828,篨
ceoi4 ,7127,搥
ceoi4 ,7128,鎚
ceon1 ,0622,春
ceon1 ,3481,椿
ceon2 ,3034,蠢
ceon4 ,1119,秦
ceon4 ,1380,循
ceon4 ,1520,巡
ceon4 ,1885,旬
ceon4 ,5317,栒
ceot1 ,0029,出
ceot1 ,6408,焌
ceot1 ,7129,齣
chik1 ,6900,蓛
chyun1,7119,絟
chyun1,7122,駩
chyun2,7116,烇
chyun4,7118,瑔
ci1   ,2315,雌
ci1   ,2984,痴
ci1   ,3272,魑
ci1   ,3554,疵
ci1   ,4081,哧
ci1   ,4123,笞
ci1   ,4395,嗤
ci1   ,4827,嘁
ci1   ,5254,胔
ci1   ,6215,蚩
ci1   ,6284,鴟
ci1   ,6428,瓻
ci1   ,6977,郗
ci1   ,7105,癡
ci1   ,7106,黐
ci2   ,0159,此
ci2   ,0469,始
ci2   ,1213,齒
ci2   ,2326,恥
ci2   ,2580,矢
ci2   ,3286,柿
ci2   ,3384,侈
ci2   ,3857,跐
ci2   ,5265,豕
ci2   ,5813,褫
ci2   ,6390,泚
ci2   ,7456,杝
ci3   ,0199,次
ci3   ,1313,刺
ci3   ,2227,幟
ci3   ,2263,翅
ci3   ,2455,賜
ci3   ,3146,熾
ci3   ,3476,廁
ci3   ,5035,啻
ci3   ,6057,佽
ci3   ,6801,眙
ci4   ,0384,持
ci4   ,0888,磁
ci4   ,1146,池
ci4   ,1161,詞
ci4   ,1607,瓷
ci4   ,1673,遲
ci4   ,1746,辭
ci4   ,2139,馳
ci4   ,2412,茬
ci4   ,2453,慈
ci4   ,2793,茨
ci4   ,3037,弛
ci4   ,3578,祠
ci4   ,4281,臍
ci4   ,4989,泜
ci4   ,5513,踟
ci4   ,5695,餈
ci4   ,6288,鶿
ci4   ,6321,墀
ci4   ,6470,茌
ci5   ,0592,似
ci5   ,3324,滍
ci5   ,3352,峙
ci5   ,3396,恃
ci5   ,5130,姒
ci5   ,5921,汜
cik1  ,1772,斥
cik1  ,2121,戚
cik1  ,3621,槭
cik1  ,3732,飭
cik1  ,4328,敕
cik1  ,4773,栻
cik1  ,4903,叱
cik1  ,5422,慼
cik1  ,5498,螫
cik1  ,6659,彳
cik1  ,7053,鶒
cim1  ,1131,纖
cim1  ,1586,簽
cim1  ,2609,殲
cim1  ,4210,暹
cim1  ,4217,籤
cim1  ,5541,僉
cim1  ,6134,櫼
cim1  ,6987,銛
cim2  ,5504,諂
cim3  ,4109,塹
cim3  ,5200,僭
cim4  ,1418,潛
cim4  ,6754,燂
cin1  ,0403,千
cin1  ,1925,遷
cin1  ,4013,芊
cin1  ,4111,扦
cin1  ,4197,阡
cin1  ,6054,仟
cin1  ,7013,韆
cin2  ,0664,錢
cin2  ,1550,淺
cin2  ,2186,闡
cin2  ,6087,囅
cin2  ,6310,嘽
cin2  ,6479,蕆
cin4  ,0115,前
cin4  ,2355,纏
cin4  ,5150,瀍
cin4  ,5217,廛
cin5  ,0900,踐
cing1 ,0300,清
cing1 ,0411,青
cing1 ,0425,稱
cing1 ,2574,氰
cing1 ,4067,菁
cing1 ,4581,偁
cing1 ,5089,蜻
cing1 ,5369,蟶
cing1 ,5594,檉
cing1 ,6568,鯖
cing1 ,6961,赬
cing2 ,0679,請
cing2 ,3184,逞
cing2 ,3672,拯
cing2 ,4347,騁
cing2 ,4945,郢
cing3 ,2557,秤
cing4 ,0174,情
cing4 ,0186,程
cing4 ,1340,呈
cing4 ,1906,懲
cing4 ,2178,晴
cing4 ,2311,澄
cing4 ,5525,餳
cing4 ,6491,裎
cing4 ,6613,埕
cip3  ,3546,妾
cip3  ,5826,跕
cip3  ,6599,唼
cit3  ,0203,設
cit3  ,0309,切
cit3  ,1042,徹
cit3  ,1547,撤
cit3  ,3335,澈
cit3  ,4194,轍
cit3  ,5672,踅
ciu1  ,0680,超
ciu1  ,2198,昭
ciu1  ,2741,釗
ciu1  ,3949,鍬
ciu1  ,5733,怊
ciu1  ,6651,幧
ciu1  ,6845,繰
ciu2  ,1790,悄
ciu2  ,7109,愀
ciu3  ,2199,肖
ciu3  ,3169,峭
ciu3  ,3198,鞘
ciu3  ,3779,俏
ciu3  ,5305,帩
ciu3  ,6005,誚
ciu4  ,0543,朝
ciu4  ,1121,潮
ciu4  ,2008,瞧
ciu4  ,4004,樵
ciu4  ,4450,晁
ciu4  ,4654,憔
ciu4  ,6228,譙
co1   ,0644,初
co1   ,1939,雛
co1   ,3590,磋
co1   ,3727,芻
co1   ,4802,蹉
co1   ,6100,嵯
co2   ,0694,礎
co2   ,1137,楚
co3   ,0721,錯
co3   ,2382,挫
co3   ,3258,銼
co4   ,2950,鋤
co4   ,4956,鶵
co4   ,5631,矬
co4   ,6256,鉏
co5   ,0699,坐
coek3 ,1487,桌
coek3 ,2456,卓
coek3 ,2901,灼
coek3 ,3323,戳
coek3 ,3442,焯
coek3 ,3487,綽
coek3 ,4161,鵲
coek3 ,4494,芍
coek3 ,5872,噱
coek3 ,6061,倬
coek3 ,6146,潟
coek3 ,7103,婥
coeng1,1027,槍
coeng1,1224,昌
coeng1,1368,窗
coeng1,1766,倡
coeng1,2854,猖
coeng1,2944,囪
coeng1,3074,羥
coeng1,3878,嗆
coeng1,4043,菖
coeng1,4441,娼
coeng1,4740,蹌
coeng1,4806,鏘
coeng1,5277,閶
coeng1,5540,倀
coeng1,5702,鯧
coeng1,6534,錆
coeng1,6966,蹡
coeng1,7104,鎗
coeng2,1509,搶
coeng3,0802,唱
coeng3,2052,暢
coeng3,3865,悵
coeng3,4335,瑒
coeng3,6037,韔
coeng3,6279,鬯
coeng3,6752,熗
coeng4,0317,場
coeng4,1501,牆
coeng4,1518,祥
coeng4,1603,詳
coeng4,2040,腸
coeng4,2120,墻
coeng4,2543,翔
coeng4,3702,薔
coeng4,5216,庠
coeng4,5438,檣
coeng4,5574,戕
coeng4,5985,萇
coeng4,6630,嬙
coengd,0084,長
coi1  ,7110,啋
coi2  ,0352,採
coi2  ,1078,彩
coi2  ,1320,采
coi2  ,4093,睬
coi2  ,5803,茞
coi2  ,6333,寀
coi2  ,7108,跴
coi2  ,7111,綵
coi3  ,0767,菜
coi3  ,1005,賽
coi3  ,1049,塞
coi3  ,2049,蔡
coi3  ,6455,縩
coi4  ,0346,才
coi4  ,0548,材
coi4  ,0619,財
coi4  ,1011,裁
coi4  ,4459,纔
cong1 ,1493,倉
cong1 ,2016,蒼
cong1 ,2397,艙
cong1 ,3425,滄
cong1 ,3710,瘡
cong2 ,0474,廠
cong2 ,2278,闖
cong2 ,2698,敞
cong2 ,3982,昶
cong2 ,5598,氅
cong2 ,5709,厂
cong2 ,6664,惝
cong3 ,0645,創
cong3 ,4552,愴
cong4 ,0909,藏
cong4 ,1058,床
cong4 ,3275,幢
cong4 ,5593,橦
cong4 ,7112,牀
cou1  ,0908,操
cou1  ,1134,粗
cou2  ,0669,草
cou3  ,0961,措
cou3  ,1593,燥
cou3  ,2175,醋
cou3  ,2551,噪
cou3  ,2784,糙
cou3  ,2949,躁
cou3  ,4653,慥
cou3  ,5547,厝
cou3  ,6523,酢
cou3  ,7113,譟
cou4  ,1577,槽
cou4  ,1827,曹
cou4  ,3616,嘈
cou4  ,3677,漕
cou4  ,5355,艚
cou4  ,6923,螬
cuk1  ,0313,速
cuk1  ,0893,促
cuk1  ,0962,束
cuk1  ,1423,畜
cuk1  ,1763,蓄
