ch,rank,yyutping
橛,5061,gyut,6
Ｈ,7249,Ｈ
哈,1030,haa,1
蝦,1568,haa,1
岈,6635,haa,1
霞,2020,haa,4
遐,4380,haa,4
瑕,4722,haa,4
下,0045,haa,6
夏,1082,haa,6
廈,2544,haa,6
暇,3587,haa,6
揩,3505,haai,1
孩,0813,haai,4
鞋,1788,haai,4
諧,1812,haai,4
骸,4027,haai,4
蟹,3239,haai,5
駭,3436,haai,5
獬,5772,haai,5
邂,5832,haai,5
澥,6149,haai,5
械,0824,haai,6
懈,3038,haai,6
嗐,4550,haai,6
瀣,6151,haai,6
叡,6303,haai,6
薤,6905,haai,6
客,0702,haak,3
嚇,2036,haak,3
喀,2275,haak,3
吓,7222,haak,3
闞,4575,haam,2
喊,1411,haam,3
函,1094,haam,4
咸,2626,haam,4
銜,2667,haam,4
涵,2768,haam,4
鹹,2778,haam,4
啣,4511,haam,4
餡,3270,haam,5
檻,3508,haam,5
慳,6111,haan,1
閒,1895,haan,4
嫻,3670,haan,4
癇,5463,haan,4
嫺,7225,haan,4
閑,7226,haan,4
僩,7224,haan,5
限,0674,haan,6
坑,1852,haang,1
吭,3188,haang,1
夯,3822,haang,1
阬,6548,haang,1
桁,4115,haang,4
頰,2951,haap,3
掐,3981,haap,3
呷,4760,haap,3
嗑,5406,haap,3
峽,1665,haap,6
狹,2141,haap,6
匣,3613,haap,6
狎,5065,haap,6
篋,5342,haap,6
敲,2056,haau,1
烤,2336,haau,1
吼,2873,haau,1
拷,3576,haau,1
哮,3739,haau,1
尻,6334,haau,1
磽,6811,haau,1
虓,6911,haau,1
鄗,6978,haau,1
考,0647,haau,2
巧,1512,haau,2
栲,5316,haau,2
孝,2188,haau,3
姣,5412,haau,4
洨,6387,haau,4
效,0454,haau,6
校,0743,haau,6
傚,7227,haau,6
喺,7223,hai,2
奚,3705,hai,4
兮,4136,hai,4
鼷,5116,hai,4
蹊,5180,hai,4
傒,5397,hai,4
徯,6345,hai,4
郋,6521,hai,4
系,0387,hai,6
係,0438,hai,6
繫,1020,hai,6
禊,6441,hai,6
克,0427,hak,1
黑,0600,hak,1
刻,0754,hak,1
赫,1503,hak,1
氪,4268,hak,1
剋,6300,hak,1
勘,1796,ham,1
堪,2357,ham,1
坎,2722,ham,1
憨,3829,ham,1
坩,4108,ham,1
戡,4655,ham,1
龕,5030,ham,1
蚶,5996,ham,1
砍,2019,ham,2
轗,5517,ham,2
欿,6722,ham,2
顑,7016,ham,2
嵌,2617,ham,3
瞰,4527,ham,3
墈,5722,ham,3
琀,6425,ham,3
崁,6639,ham,3
磡,7248,ham,3
含,0521,ham,4
焓,3844,ham,4
酣,4044,ham,4
邯,4619,ham,4
頷,4629,ham,5
陷,1338,ham,6
憾,2846,ham,6
撼,3480,ham,6
很,0173,han,2
狠,1810,han,2
墾,2248,han,2
懇,2631,han,2
齦,6290,han,2
痕,2058,han,4
恨,1633,han,6
絎,6452,han,6
哼,2414,hang,1
亨,3419,hang,1
鏗,4574,hang,1
硜,5072,hang,1
啈,5870,hang,1
肯,1283,hang,2
啃,3343,hang,2
行,0051,hang,4
衡,0944,hang,4
恒,1850,hang,4
珩,4414,hang,4
姮,6621,hang,4
恆,7219,hang,4
蘅,7221,hang,4
悻,4445,hang,5
幸,1410,hang,6
杏,2517,hang,6
倖,4293,hang,6
婞,4830,hang,6
荇,5487,hang,6
恰,1530,hap,1
洽,3298,hap,1
合,0108,hap,6
盒,2238,hap,6
磕,3204,hap,6
俠,3260,hap,6
瞌,4307,hap,6
闔,4626,hap,6
溘,4719,hap,6
盍,5781,hap,6
鉿,6258,hap,6
迄,2816,hat,1
乞,2872,hat,1
核,0761,hat,6
轄,2057,hat,6
瞎,2615,hat,6
劾,3296,hat,6
檄,3764,hat,6
搳,4326,hat,6
閡,4503,hat,6
黠,5533,hat,6
覡,5816,hat,6
齕,6580,hat,6
口,0274,hau,2
侯,2095,hau,4
喉,2247,hau,4
猴,2804,hau,4
瘊,5780,hau,4
篌,6447,hau,4
餱,7023,hau,4
厚,0943,hau,5
後,0055,hau,6
候,0449,hau,6
后,2180,hau,6
堠,5410,hau,6
逅,5518,hau,6
郈,6021,hau,6
鱟,7046,hau,6
希,0906,hei,1
烯,1270,hei,1
稀,1482,hei,1
熙,1622,hei,1
犧,1875,hei,1
欺,1915,hei,1
嘻,2719,hei,1
嗨,2787,hei,1
熹,3172,hei,1
嘿,3261,hei,1
羲,3391,hei,1
嬉,3502,hei,1
禧,3644,hei,1
曦,4172,hei,1
浠,4593,hei,1
睎,4784,hei,1
爔,4851,hei,1
欷,5439,hei,1
僖,5542,hei,1
榿,5591,hei,1
唏,5710,hei,1
譆,5821,hei,1
魌,6041,hei,1
醯,6250,hei,1
晞,6364,hei,1
起,0082,hei,2
喜,0873,hei,2
豈,2104,hei,2
蟢,6927,hei,2
囍,7229,hei,2
氣,0154,hei,3
器,0277,hei,3
汽,0737,hei,3
戲,1556,hei,3
棄,1573,hei,3
憩,3412,hei,3
塈,4082,hei,3
餼,6556,hei,3
吃,0620,hek,3
喫,7230,hek,3
虛,1358,heoi,1
吁,2569,heoi,1
噓,3123,heoi,1
墟,3658,heoi,1
圩,3978,heoi,1
訏,5373,heoi,1
姁,6620,heoi,1
歔,7246,heoi,1
許,0361,heoi,2
栩,3189,heoi,2
煦,4780,heoi,2
詡,5178,heoi,2
昫,5904,heoi,2
去,0101,heoi,3
謙,2375,him,1
險,1012,him,2
玁,4413,him,2
嶮,5048,him,2
獫,6769,him,2
欠,2408,him,3
芡,2831,him,3
慊,6351,him,3
牽,1510,hin,1
縴,1600,hin,1
掀,2177,hin,1
軒,3227,hin,1
騫,4751,hin,1
愆,5736,hin,1
汧,5922,hin,1
搴,6118,hin,1
鶱,7058,hin,1
褰,7233,hin,1
顯,0515,hin,2
譴,2118,hin,2
遣,2145,hin,2
繾,5478,hin,2
蜆,5998,hin,2
憲,0920,hin,3
獻,1085,hin,3
輕,0490,hing,1
興,0605,hing,1
氫,0913,hing,1
兄,1513,hing,1
卿,2069,hing,1
馨,3690,hing,1
慶,0923,hing,3
磬,5162,hing,3
罄,5645,hing,3
謦,6951,hing,3
協,0712,hip,3
脅,1681,hip,3
歉,2826,hip,3
怯,3105,hip,3
愜,4910,hip,3
挾,3020,hip,6
勰,4507,hip,6
歇,2076,hit,3
蠍,4341,hit,3
蝎,7235,hit,3
囂,2982,hiu,1
僥,3819,hiu,1
梟,4452,hiu,1
蹺,4882,hiu,1
嘵,5297,hiu,1
枵,5433,hiu,1
驍,5528,hiu,1
鴞,6283,hiu,1
曉,1495,hiu,2
竅,3486,hiu,3
呵,1540,ho,1
苛,2521,ho,1
訶,3197,ho,1
坷,7389,ho,1
可,0036,ho,2
岢,6637,ho,2
嗬,7237,ho,2
何,0428,ho,4
河,0552,ho,4
荷,1055,ho,4
蚵,3749,ho,4
賀,1265,ho,6
靴,3433,hoe,1
香,0853,hoeng,1
鄉,0951,hoeng,1
薌,4148,hoeng,1
響,0415,hoeng,2
享,1628,hoeng,2
餉,2668,hoeng,2
晌,3106,hoeng,2
饗,6275,hoeng,2
响,7231,hoeng,2
嚮,7232,hoeng,2
饟,7385,hoeng,2
向,0156,hoeng,3
曏,5907,hoeng,3
開,0106,hoi,1
海,0273,hoi,2
凱,0971,hoi,2
闓,3497,hoi,2
愷,3762,hoi,2
鎧,4624,hoi,2
剴,5402,hoi,2
醢,5837,hoi,2
磑,5960,hoi,2
頦,5280,hoi,4
害,0583,hoi,6
亥,2182,hoi,6
氦,2953,hoi,6
殼,1438,hok,3
學,0058,hok,6
鶴,2918,hok,6
貉,4342,hok,6
翯,4423,hok,6
刊,1422,hon,1
頇,7014,hon,1
罕,2585,hon,2
侃,4348,hon,2
衎,6933,hon,2
看,0145,hon,3
漢,0624,hon,3
暵,6365,hon,3
熯,6753,hon,3
寒,1456,hon,4
韓,1718,hon,4
鼾,4325,hon,4
犴,6759,hon,4
邗,6975,hon,4
旱,1707,hon,5
捍,2886,hon,5
悍,3600,hon,5
汗,1263,hon,6
焊,2128,hon,6
翰,2792,hon,6
扞,3250,hon,6
瀚,4057,hon,6
睅,6803,hon,6
銲,7236,hon,6
康,1013,hong,1
腔,1787,hong,1
糠,2738,hong,1
筐,2985,hong,1
眶,3300,hong,1
匡,4078,hong,1
誆,5502,hong,1
洭,6388,hong,1
慷,3007,hong,2
烘,2028,hong,3
炕,2454,hong,3
航,0995,hong,4
杭,1907,hong,4
沆,5756,hong,4
項,0527,hong,6
巷,1832,hong,6
喝,1436,hot,3
褐,2260,hot,3
渴,2540,hot,3
曷,4714,hot,3
暍,6696,hot,3
鞨,7012,hot,3
蒿,3921,hou,1
薅,4794,hou,1
嚆,5039,hou,1
好,0104,hou,2
耗,1081,hou,3
犒,5453,hou,3
毫,0776,hou,4
豪,1732,hou,4
壕,3575,hou,4
蠔,4497,hou,4
嚎,4585,hou,4
嗥,5205,hou,4
濠,6402,hou,4
號,0441,hou,6
浩,1953,hou,6
灝,3870,hou,6
皓,4526,hou,6
昊,4841,hou,6
皞,6431,hou,6
淏,6731,hou,6
滈,6734,hou,6
顥,7017,hou,6
哭,1474,huk,1
勖,6070,huk,1
勗,7520,huk,1
酷,1845,huk,6
斛,3904,huk,6
縠,6453,huk,6
觳,6498,huk,6
槲,7247,huk,6
空,0354,hung,1
胸,1569,hung,1
凶,2212,hung,1
匈,2759,hung,1
洶,2801,hung,1
兇,2932,hung,1
崆,3824,hung,1
哅,5126,hung,1
箜,5341,hung,1
倥,5865,hung,1
悾,6108,hung,1
孔,0757,hung,2
恐,1531,hung,2
控,0683,hung,3
哄,2730,hung,3
汞,2818,hung,3
訌,5372,hung,3
澒,6147,hung,3
紅,0489,hung,4
雄,1104,hung,4
洪,1264,hung,4
鴻,1735,hung,4
熊,2025,hung,4
虹,2776,hung,4
蕻,5656,hung,4
葒,7243,hung,4
黌,7245,hung,4
鬨,7244,hung,6
圈,1080,hyun,1
喧,3018,hyun,1
萱,3496,hyun,1
渲,3907,hyun,1
棬,4843,hyun,1
暄,5058,hyun,1
烜,5610,hyun,1
諠,6227,hyun,1
弮,6656,hyun,1
煖,7239,hyun,1
禢,7241,hyun,1
嬛,7478,hyun,1
犬,3190,hyun,2
畎,5779,hyun,2
勸,1728,hyun,3
券,3247,hyun,3
絢,3464,hyun,3
楦,3707,hyun,3
禤,6816,hyun,3
綣,7242,hyun,3
血,0807,hyut,3
Ｉ,7250,Ｉ
Ｊ,7285,Ｊ
抓,0934,jaa,1
咱,1407,jaa,1
渣,2164,jaa,1
咋,2713,jaa,1
喳,3084,jaa,1
吒,4508,jaa,1
糌,4731,jaa,1
髽,7035,jaa,1
揸,7251,jaa,1
砟,7254,jaa,1
鮓,6042,jaa,2
炸,1331,jaa,3
詐,2568,jaa,3
榨,2642,jaa,3
乍,2975,jaa,3
搾,4208,jaa,3
蚱,5494,jaa,3
溠,6735,jaa,3
痄,7253,jaa,3
煠,7412,jaa,3
柞,4661,jaa,6
齋,2595,jaai,1
債,1930,jaai,3
瘵,6794,jaai,3
寨,1039,jaai,6
豸,5508,jaai,6
砦,6437,jaai,6
責,0659,jaak,3
窄,2138,jaak,3
嘖,3879,jaak,3
磧,4146,jaak,3
澤,1032,jaak,6
擇,1083,jaak,6
摘,1991,jaak,6
擲,1992,jaak,6
宅,2334,jaak,6
躑,3993,jaak,6
謫,4941,jaak,6
擢,5055,jaak,6
磔,5337,jaak,6
簪,4788,jaam,1
斬,2526,jaam,2
嶄,2797,jaam,2
眨,3047,jaam,2
蘸,3313,jaam,3
湛,3388,jaam,3
站,0660,jaam,6
暫,1592,jaam,6
蹔,6513,jaam,6
鏨,6996,jaam,6
琖,5620,jaan,1
盞,2862,jaan,2
棧,3722,jaan,2
趲,5670,jaan,2
昝,6693,jaan,2
讚,1554,jaan,3
贊,1730,jaan,3
瓚,4667,jaan,3
酇,6980,jaan,3
賺,2881,jaan,6
撰,3003,jaan,6
綻,3713,jaan,6
攥,4354,jaan,6
饌,4630,jaan,6
譔,6008,jaan,6
睜,2343,jaang,1
箏,3336,jaang,1
錚,4100,jaang,1
猙,4721,jaang,1
諍,5179,jaang,1
崢,5566,jaang,1
踭,7252,jaang,1
砸,2600,jaap,3
匝,3473,jaap,3
集,0358,jaap,6
習,0413,jaap,6
雜,0631,jaap,6
襲,1703,jaap,6
閘,2208,jaap,6
鰼,5390,jaap,6
隰,6549,jaap,6
嶍,6643,jaap,6
軋,1273,jaat,3
扎,1346,jaat,3
紮,2619,jaat,3
札,3524,jaat,3
鍘,4025,jaat,3
拶,6113,jaat,3
嘲,2822,jaau,1
找,0687,jaau,2
爪,2628,jaau,2
肘,3151,jaau,2
帚,3695,jaau,2
罩,2010,jaau,3
笊,5340,jaau,3
驟,1867,jaau,6
櫂,5595,jaau,6
劑,0709,jai,1
擠,1572,jai,1
齎,4201,jai,1
躋,5182,jai,1
齏,6053,jai,1
仔,1782,jai,2
制,0110,jai,3
濟,0283,jai,3
際,0391,jai,3
製,0830,jai,3
祭,2465,jai,3
掣,4001,jai,3
穄,4147,jai,3
霽,5385,jai,3
狾,6762,jai,3
滯,2520,jai,6
則,0250,jak,1
側,1037,jak,1
仄,5120,jak,1
昃,7255,jak,1
鰂,7256,jak,1
針,0798,jam,1
砧,3361,jam,1
斟,3522,jam,1
祲,4859,jam,1
箴,5075,jam,1
瑊,6777,jam,1
怎,0561,jam,2
枕,2744,jam,2
浸,1669,jam,3
朕,2962,jam,6
鴆,6045,jam,6
真,0321,jan,1
珍,1486,jan,1
禛,6442,jan,1
胗,6464,jan,1
稹,4998,jan,2
縝,5079,jan,2
軫,5376,jan,2
畛,6170,jan,2
鬒,7038,jan,2
振,0918,jan,3
鎮,0992,jan,3
震,1375,jan,3
圳,4642,jan,3
賑,7257,jan,3
陣,1097,jan,6
增,0281,jang,1
爭,0282,jang,1
掙,2256,jang,1
僧,2786,jang,1
憎,3043,jang,1
矰,6178,jang,1
繒,6456,jang,1
罾,6854,jang,1
贈,2438,jang,6
甑,4723,jang,6
執,0865,jap,1
汁,1917,jap,1
縶,6844,jap,1
質,0153,jat,1
鑕,4685,jat,1
騭,7029,jat,1
疾,1808,jat,6
蛭,2957,jat,6
侄,2969,jat,6
窒,3100,jat,6
嫉,3598,jat,6
桎,4173,jat,6
蒺,4425,jat,6
厔,4825,jat,6
郅,4944,jat,6
蟄,5262,jat,6
銍,5682,jat,6
姪,7258,jat,6
周,0439,jau,1
州,0684,jau,1
洲,0753,jau,1
舟,1449,jau,1
週,1794,jau,1
鄒,2903,jau,1
揪,3031,jau,1
啁,4259,jau,1
湫,4270,jau,1
啾,4512,jau,1
盩,4857,jau,1
謅,4879,jau,1
掫,5893,jau,1
輈,6241,jau,1
鄹,6522,jau,1
諏,6949,jau,1
譸,6952,jau,1
鵃,7050,jau,1
走,0329,jau,2
酒,0787,jau,2
奏,0987,jau,3
皺,2051,jau,3
晝,2552,jau,3
咒,2884,jau,3
縐,3746,jau,3
揍,4299,jau,3
甃,7100,jau,3
就,0030,jau,6
袖,1412,jau,6
宙,2206,jau,6
紂,4125,jau,6
鷲,4389,jau,6
冑,4434,jau,6
僦,4759,jau,6
岫,5727,jau,6
遮,2303,je,1
嗟,4394,je,1
啫,7260,je,1
者,0175,je,2
姐,1374,je,2
鍺,4024,je,2
赭,4098,je,2
借,1067,je,3
蔗,2423,je,3
柘,5230,je,3
鷓,6048,je,3
這,0010,je,5
謝,1141,je,6
榭,4589,je,6
唧,2874,jek,1
脊,2514,jek,3
炙,3909,jek,3
跖,5671,jek,3
摭,5895,jek,3
隻,7264,jek,3
蓆,7263,jek,6
井,0883,jeng,2
汫,6385,jeng,2
丼,7141,jeng,2
鄭,1532,jeng,6
凈,7265,jeng,6
追,1101,jeoi,1
錐,1849,jeoi,1
椎,4141,jeoi,1
疽,4927,jeoi,1
趄,5017,jeoi,1
菹,5488,jeoi,1
狙,5613,jeoi,1
苴,6469,jeoi,1
騅,6562,jeoi,1
隹,7280,jeoi,1
嘴,1194,jeoi,2
觜,3449,jeoi,2
咀,3755,jeoi,2
沮,4591,jeoi,2
齟,5862,jeoi,2
最,0176,jeoi,3
醉,2152,jeoi,3
綴,3225,jeoi,3
贅,3992,jeoi,3
檇,6133,jeoi,3
晬,6695,jeoi,3
蕞,7279,jeoi,3
罪,0517,jeoi,6
聚,0736,jeoi,6
序,0791,jeoi,6
敘,1854,jeoi,6
墜,3131,jeoi,6
縋,5971,jeoi,6
津,1272,jeon,1
遵,1489,jeon,1
臻,3608,jeon,1
榛,4715,jeon,1
蓁,5989,jeon,1
溱,6396,jeon,1
肫,6862,jeon,1
樽,7284,jeon,1
準,0488,jeon,2
准,1506,jeon,2
贐,4942,jeon,2
藎,5258,jeon,2
埻,6317,jeon,2
隼,7007,jeon,2
進,0067,jeon,3
晉,1879,jeon,3
俊,2376,jeon,3
峻,2501,jeon,3
駿,3016,jeon,3
竣,3402,jeon,3
浚,3459,jeon,3
縉,5251,jeon,3
餕,5696,jeon,3
璡,5945,jeon,3
盡,0666,jeon,6
燼,4522,jeon,6
濜,5240,jeon,6
儘,7283,jeon,6
卒,2924,jeot,1
怵,5050,jeot,1
崒,6640,jeot,1
之,0066,ji,1
資,0212,ji,1
知,0222,ji,1
支,0417,ji,1
脂,1120,ji,1
枝,1388,ji,1
姿,1938,ji,1
咨,1984,ji,1
滋,2123,ji,1
芝,2229,ji,1
茲,2396,ji,1
肢,2603,ji,1
吱,3006,ji,1
孜,3158,ji,1
恣,3478,ji,1
輜,3730,ji,1
淄,4143,ji,1
貲,4315,ji,1
蜘,4375,ji,1
祗,4417,ji,1
梔,4451,ji,1
鯔,4753,ji,1
髭,5285,ji,1
緇,5346,ji,1
齜,5393,ji,1
孳,5562,ji,1
榰,5589,ji,1
甾,5948,ji,1
鎡,6033,ji,1
鼒,6052,ji,1
菑,6209,ji,1
錙,6260,ji,1
呲,6306,ji,1
嵫,6337,ji,1
卮,6595,ji,1
諮,7261,ji,1
子,0047,ji,2
只,0163,ji,2
指,0237,ji,2
止,0562,ji,2
紙,0792,ji,2
紫,1553,ji,2
酯,1890,ji,2
旨,1934,ji,2
址,2226,ji,2
籽,2325,ji,2
姊,3079,ji,2
祇,3099,ji,2
趾,3512,ji,2
訾,3609,ji,2
軹,3687,ji,2
梓,3962,ji,2
咫,4476,ji,2
祉,4529,ji,2
芷,4615,ji,2
滓,4665,ji,2
秭,4997,ji,2
沚,5063,ji,2
耔,5253,ji,2
坁,6610,ji,2
黹,7067,ji,2
志,0301,ji,3
至,0327,ji,3
置,0465,ji,3
致,0637,ji,3
智,1457,ji,3
誌,1636,ji,3
緻,1878,ji,3
漬,2920,ji,3
摯,3233,ji,3
贄,3836,ji,3
痣,5158,ji,3
鷙,6049,ji,3
躓,6514,ji,3
疐,6784,ji,3
觶,6946,ji,3
輊,7268,ji,3
雉,3859,ji,5
自,0079,ji,6
治,0265,ji,6
字,0547,ji,6
飼,1051,ji,6
寺,1864,ji,6
嗣,2771,ji,6
稚,2946,ji,6
伺,3273,ji,6
庤,3353,ji,6
祀,3527,ji,6
巳,4297,ji,6
笥,4863,ji,6
痔,5330,ji,6
彘,5731,ji,6
兕,5868,ji,6
涘,6141,ji,6
眥,6433,ji,6
耜,6860,ji,6
即,0263,jik,1
積,0330,jik,1
織,0379,jik,1
職,0623,jik,1
跡,1215,jik,1
績,1334,jik,1
蹟,2115,jik,1
鯽,3339,jik,1
稷,3913,jik,1
陟,5022,jik,1
勣,5708,jik,1
踖,6964,jik,1
瘠,3628,jik,3
蹠,3923,jik,3
蹐,6012,jik,3
鶺,6574,jik,3
直,0183,jik,6
值,0437,jik,6
席,0520,jik,6
植,0781,jik,6
殖,0979,jik,6
籍,1619,jik,6
夕,2097,jik,6
寂,2240,jik,6
藉,2620,jik,6
矽,3789,jik,6
汐,4407,jik,6
稙,5633,jik,6
埴,5716,jik,6
尖,1337,jim,1
沾,2409,jim,1
瞻,3223,jim,1
詹,3418,jim,1
譫,6230,jim,1
臢,6870,jim,1
覘,6944,jim,1
霑,7269,jim,1
颭,7019,jim,2
佔,0634,jim,3
占,2709,jim,3
漸,0821,jim,6
濺,2868,jin,1
煎,2869,jin,1
氈,3045,jin,1
戔,3276,jin,1
箋,3280,jin,1
湔,5929,jin,1
旃,6120,jin,1
韉,6273,jin,1
揃,6357,jin,1
羶,7270,jin,1
展,0187,jin,2
剪,1764,jin,2
戩,3397,jin,2
輾,3631,jin,2
翦,4422,jin,2
搌,6117,jin,2
譾,6231,jin,2
戰,0248,jin,3
箭,2038,jin,3
顫,2264,jin,3
荐,2908,jin,3
薦,2956,jin,3
餞,3407,jin,3
牮,6757,jin,3
賤,2660,jin,6
精,0435,jing,1
晶,0942,jing,1
蒸,0977,jing,1
徵,1150,jing,1
睛,1223,jing,1
征,1497,jing,1
偵,1625,jing,1
貞,2452,jing,1
怔,3112,jing,1
禎,3162,jing,1
楨,3808,jing,1
箐,3850,jing,1
鉦,4071,jing,1
烝,5241,jing,1
湞,6393,jing,1
鶄,7052,jing,1
整,0353,jing,2
政,0118,jing,3
正,0140,jing,3
證,0298,jing,3
症,1838,jing,3
幀,3492,jing,3
証,7267,jing,3
陘,5848,jing,4
靜,0894,jing,6
淨,1222,jing,6
剩,1397,jing,6
靖,2987,jing,6
凊,4698,jing,6
婧,4767,jing,6
阱,4810,jing,6
接,0221,jip,3
輒,3651,jip,3
楫,4405,jip,3
倢,5198,jip,3
囁,5554,jip,3
摺,5741,jip,3
讋,6010,jip,3
櫛,4330,jit,1
節,0349,jit,3
折,1050,jit,3
哲,1330,jit,3
浙,1643,jit,3
蜇,2879,jit,3
婕,4906,jit,3
疌,5624,jit,3
癤,6174,jit,3
截,1214,jit,6
捷,2204,jit,6
睫,4063,jit,6
招,1174,jiu,1
焦,1415,jiu,1
椒,2241,jiu,1
礁,2273,jiu,1
蕉,2941,jiu,1
僬,4823,jiu,1
鷦,5194,jiu,1
剿,2994,jiu,2
沼,3046,jiu,2
照,0487,jiu,3
詔,2451,jiu,3
皭,5465,jiu,3
曌,6124,jiu,3
醮,6526,jiu,3
炤,6748,jiu,3
趙,0966,jiu,6
召,1006,jiu,6
左,0580,jo,2
阻,0775,jo,2
俎,5123,jo,2
咗,7276,jo,2
佐,2187,jo,3
詛,3581,jo,3
助,0641,jo,6
座,0931,jo,6
唑,4234,jo,6
雀,2700,joek,3
爵,2809,joek,3
酌,2959,joek,3
嚼,3029,joek,3
斮,5899,joek,3
妁,6094,joek,3
斫,6361,joek,3
爝,6756,joek,6
張,0345,joeng,1
章,0581,joeng,1
漿,1399,joeng,1
璋,2810,joeng,1
彰,2906,joeng,1
樟,3414,joeng,1
漳,4521,joeng,1
鄣,5102,joeng,1
蟑,6000,joeng,1
獐,6160,joeng,1
掌,0823,joeng,2
獎,1425,joeng,2
蔣,1751,joeng,2
槳,3277,joeng,2
仉,5536,joeng,2
將,0224,joeng,3
障,1298,joeng,3
脹,1811,joeng,3
漲,1897,joeng,3
帳,1931,joeng,3
醬,2045,joeng,3
賬,2160,joeng,3
瘴,4724,joeng,3
幛,4769,joeng,3
嶂,5303,joeng,3
象,0191,joeng,6
像,1277,joeng,6
橡,1595,joeng,6
丈,1748,joeng,6
仗,1903,joeng,6
匠,2406,joeng,6
杖,3180,joeng,6
蟓,5367,joeng,6
災,1448,joi,1
栽,1724,joi,1
哉,3248,joi,1
宰,2498,joi,2
崽,3424,joi,2
再,0304,joi,3
載,0695,joi,3
在,0004,joi,6
作,0028,jok,3
昨,1835,jok,6
鑿,2211,jok,6
濯,4991,jok,6
浞,5448,jok,6
怍,6348,jok,6
裝,0380,jong,1
莊,1231,jong,1
髒,1824,jong,1
樁,2762,jong,1
贓,2824,jong,1
臧,3139,jong,1
妝,3306,jong,1
奘,4644,jong,1
牂,6415,jong,1
粧,6450,jong,1
庄,7274,jong,1
壯,1355,jong,3
葬,2162,jong,3
狀,0472,jong,6
撞,1791,jong,6
臟,7275,jong,6
遭,1178,jou,1
租,1585,jou,1
糟,2354,jou,1
蹧,7273,jou,1
組,0225,jou,2
早,0582,jou,2
祖,0890,jou,2
藻,2447,jou,2
棗,2798,jou,2
澡,3426,jou,2
蚤,4536,jou,2
璪,5622,jou,2
灶,2462,jou,3
做,0246,jou,6
造,0267,jou,6
皂,2573,jou,6
祚,3579,jou,6
簉,6185,jou,6
阼,7003,jou,6
足,0595,juk,1
觸,0928,juk,1
築,1060,juk,1
竹,1391,juk,1
祝,1642,juk,1
捉,1908,juk,1
囑,2564,juk,1
蠋,2648,juk,1
粥,3004,juk,1
竺,3193,juk,1
矚,4308,juk,1
柷,5910,juk,1
瘃,6791,juk,1
燭,7281,juk,1
筑,7282,juk,1
族,0442,juk,6
續,0584,juk,6
軸,0686,juk,6
逐,0729,juk,6
俗,1784,juk,6
濁,2269,juk,6
躅,3268,juk,6
鐲,4046,juk,6
鏃,6264,juk,6
舳,6873,juk,6
藚,6909,juk,6
中,0011,jung,1
終,0735,jung,1
鐘,0897,jung,1
宗,0980,jung,1
綜,1172,jung,1
忠,1504,jung,1
蹤,2413,jung,1
衷,2560,jung,1
鍾,2586,jung,1
棕,2662,jung,1
盅,3969,jung,1
鬃,4133,jung,1
舂,5006,jung,1
螽,6488,jung,1
舯,6872,jung,1
種,0050,jung,2
總,0198,jung,2
腫,2389,jung,2
粽,3915,jung,2
摠,5578,jung,2
傯,6063,jung,2
熜,6409,jung,2
糉,7278,jung,2
眾,0386,jung,3
縱,1260,jung,3
瘲,6795,jung,3
訟,1452,jung,6
仲,1480,jung,6
頌,2112,jung,6
誦,2764,jung,6
豬,1113,jyu,1
朱,1129,jyu,1
株,1316,jyu,1
珠,1385,jyu,1
諸,1441,jyu,1
誅,3267,jyu,1
蛛,3815,jyu,1
銖,4621,jyu,1
侏,4697,jyu,1
櫧,5062,jyu,1
瀦,5765,jyu,1
茱,5802,jyu,1
櫫,6718,jyu,1
邾,6976,jyu,1
硃,7277,jyu,1
主,0037,jyu,2
煮,1837,jyu,2
麈,4324,jyu,2
渚,4594,jyu,2
注,0549,jyu,3
著,0828,jyu,3
駐,1207,jyu,3
鑄,1325,jyu,3
蛀,4149,jyu,3
註,4465,jyu,3
箸,5000,jyu,3
炷,5934,jyu,3
疰,6172,jyu,3
翥,6858,jyu,3
着,7262,jyu,3
住,0483,jyu,6
專,0471,jyun,1
尊,1366,jyun,1
磚,1584,jyun,1
顓,5524,jyun,1
轉,0305,jyun,2
纂,3971,jyun,2
撙,4659,jyun,2
纘,4864,jyun,2
囀,5713,jyun,2
鑽,1295,jyun,3
剟,4436,jyut,1
茁,3918,jyut,3
掇,4088,jyut,3
絀,4611,jyut,3
輟,4742,jyut,3
啜,5034,jyut,3
梲,5434,jyut,3
錣,6535,jyut,3
絕,0706,jyut,6
拙,3638,jyut,6
黜,4135,jyut,6
Ｋ,7309,Ｋ
卡,1059,kaa,1
咔,7286,kaa,1
鍇,5843,kaai,2
緙,4934,kaak,1
咭,5204,kaat,1
靠,0730,kaau,3
銬,3797,kaau,3
溪,1979,kai,1
稽,3182,kai,1
嵇,4516,kai,1
磎,5161,kai,1
谿,6506,kai,1
鸂,7060,kai,1
啟,1336,kai,2
棨,4267,kai,2
契,2143,kai,3
瘈,6429,kai,3
愒,7234,kai,3
襟,2973,kam,1
衾,6003,kam,1
冚,7301,kam,2
琴,1381,kam,4
禽,2165,kam,4
擒,3506,kam,4
噙,4513,kam,4
芩,6885,kam,4
妗,5877,kam,5
勤,1414,kan,4
芹,3393,kan,4
懃,6672,kan,4
級,0216,kap,1
給,0255,kap,1
吸,0639,kap,1
岌,2346,kap,1
笈,3629,kap,1
汲,3723,kap,1
圾,3758,kap,1
歙,4590,kap,1
及,0204,kap,6
