ch,rank,yyutping
嶒,6644,cang,4
輯,1758,cap,1
緝,2972,cap,1
戢,4837,cap,1
葺,5085,cap,1
蕺,5808,cap,1
七,0272,cat,1
漆,1709,cat,1
桼,5586,cat,1
柒,6704,cat,1
秋,0912,cau,1
抽,1095,cau,1
楸,5319,cau,1
篘,5343,cau,1
鰍,5703,cau,1
鞦,5851,cau,1
萩,5988,cau,1
紬,6191,cau,1
偢,7099,cau,1
醜,2442,cau,2
瞅,2814,cau,2
丑,3176,cau,2
杻,5584,cau,2
臭,2201,cau,3
湊,2268,cau,3
溴,2519,cau,3
嗅,3156,cau,3
糗,5789,cau,3
殠,6725,cau,3
輳,6972,cau,3
籌,1701,cau,4
酬,2022,cau,4
綢,2219,cau,4
疇,2410,cau,4
稠,2689,cau,4
囚,3094,cau,4
躊,3716,cau,4
酋,3731,cau,4
惆,4651,cau,4
遒,4803,cau,4
蝤,5090,cau,4
泅,5443,cau,4
裯,6004,cau,4
讎,6232,cau,4
儔,6586,cau,4
犨,6758,cau,4
車,0319,ce,1
奢,3052,ce,1
硨,6810,ce,1
唓,7101,ce,1
且,0366,ce,2
扯,2122,ce,2
哆,3861,ce,2
斜,1045,ce,4
邪,2538,ce,4
輋,7102,ce,4
灺,6747,ce,6
尺,1100,cek,3
赤,1472,cek,3
呎,5202,cek,3
吹,1188,ceoi,1
催,1393,ceoi,1
趨,1652,ceoi,1
摧,2110,ceoi,1
炊,2844,ceoi,1
崔,2990,ceoi,1
蛆,4463,ceoi,1
璀,4602,ceoi,1
取,0252,ceoi,2
娶,2977,ceoi,2
揣,3586,ceoi,2
趣,1533,ceoi,3
脆,1894,ceoi,3
翠,2234,ceoi,3
淬,3416,ceoi,3
覷,4873,ceoi,3
綷,4932,ceoi,3
啐,5295,ceoi,3
橇,5437,ceoi,3
除,0429,ceoi,4
隨,0503,ceoi,4
徐,1179,ceoi,4
錘,2298,ceoi,4
隋,2838,ceoi,4
捶,3620,ceoi,4
槌,4357,ceoi,4
蜍,6217,ceoi,4
棰,6714,ceoi,4
箠,6827,ceoi,4
篨,6828,ceoi,4
搥,7127,ceoi,4
鎚,7128,ceoi,4
春,0622,ceon,1
椿,3481,ceon,1
蠢,3034,ceon,2
秦,1119,ceon,4
循,1380,ceon,4
巡,1520,ceon,4
旬,1885,ceon,4
栒,5317,ceon,4
出,0029,ceot,1
焌,6408,ceot,1
齣,7129,ceot,1
雌,2315,ci,1
痴,2984,ci,1
魑,3272,ci,1
疵,3554,ci,1
哧,4081,ci,1
笞,4123,ci,1
嗤,4395,ci,1
嘁,4827,ci,1
胔,5254,ci,1
蚩,6215,ci,1
鴟,6284,ci,1
瓻,6428,ci,1
郗,6977,ci,1
癡,7105,ci,1
黐,7106,ci,1
此,0159,ci,2
始,0469,ci,2
齒,1213,ci,2
恥,2326,ci,2
矢,2580,ci,2
柿,3286,ci,2
侈,3384,ci,2
跐,3857,ci,2
豕,5265,ci,2
褫,5813,ci,2
泚,6390,ci,2
杝,7456,ci,2
次,0199,ci,3
刺,1313,ci,3
幟,2227,ci,3
翅,2263,ci,3
賜,2455,ci,3
熾,3146,ci,3
廁,3476,ci,3
啻,5035,ci,3
佽,6057,ci,3
眙,6801,ci,3
持,0384,ci,4
磁,0888,ci,4
池,1146,ci,4
詞,1161,ci,4
瓷,1607,ci,4
遲,1673,ci,4
辭,1746,ci,4
馳,2139,ci,4
茬,2412,ci,4
慈,2453,ci,4
茨,2793,ci,4
弛,3037,ci,4
祠,3578,ci,4
臍,4281,ci,4
泜,4989,ci,4
踟,5513,ci,4
餈,5695,ci,4
鶿,6288,ci,4
墀,6321,ci,4
茌,6470,ci,4
似,0592,ci,5
滍,3324,ci,5
峙,3352,ci,5
恃,3396,ci,5
姒,5130,ci,5
汜,5921,ci,5
斥,1772,cik,1
戚,2121,cik,1
槭,3621,cik,1
飭,3732,cik,1
敕,4328,cik,1
栻,4773,cik,1
叱,4903,cik,1
慼,5422,cik,1
螫,5498,cik,1
彳,6659,cik,1
鶒,7053,cik,1
纖,1131,cim,1
簽,1586,cim,1
殲,2609,cim,1
暹,4210,cim,1
籤,4217,cim,1
僉,5541,cim,1
櫼,6134,cim,1
銛,6987,cim,1
諂,5504,cim,2
塹,4109,cim,3
僭,5200,cim,3
潛,1418,cim,4
燂,6754,cim,4
千,0403,cin,1
遷,1925,cin,1
芊,4013,cin,1
扦,4111,cin,1
阡,4197,cin,1
仟,6054,cin,1
韆,7013,cin,1
錢,0664,cin,2
淺,1550,cin,2
闡,2186,cin,2
囅,6087,cin,2
嘽,6310,cin,2
蕆,6479,cin,2
前,0115,cin,4
纏,2355,cin,4
瀍,5150,cin,4
廛,5217,cin,4
踐,0900,cin,5
清,0300,cing,1
青,0411,cing,1
稱,0425,cing,1
氰,2574,cing,1
菁,4067,cing,1
偁,4581,cing,1
蜻,5089,cing,1
蟶,5369,cing,1
檉,5594,cing,1
鯖,6568,cing,1
赬,6961,cing,1
請,0679,cing,2
逞,3184,cing,2
拯,3672,cing,2
騁,4347,cing,2
郢,4945,cing,2
秤,2557,cing,3
情,0174,cing,4
程,0186,cing,4
呈,1340,cing,4
懲,1906,cing,4
晴,2178,cing,4
澄,2311,cing,4
餳,5525,cing,4
裎,6491,cing,4
埕,6613,cing,4
妾,3546,cip,3
跕,5826,cip,3
唼,6599,cip,3
設,0203,cit,3
切,0309,cit,3
徹,1042,cit,3
撤,1547,cit,3
澈,3335,cit,3
轍,4194,cit,3
踅,5672,cit,3
超,0680,ciu,1
昭,2198,ciu,1
釗,2741,ciu,1
鍬,3949,ciu,1
怊,5733,ciu,1
幧,6651,ciu,1
繰,6845,ciu,1
悄,1790,ciu,2
愀,7109,ciu,2
肖,2199,ciu,3
峭,3169,ciu,3
鞘,3198,ciu,3
俏,3779,ciu,3
帩,5305,ciu,3
誚,6005,ciu,3
朝,0543,ciu,4
潮,1121,ciu,4
瞧,2008,ciu,4
樵,4004,ciu,4
晁,4450,ciu,4
憔,4654,ciu,4
譙,6228,ciu,4
初,0644,co,1
雛,1939,co,1
磋,3590,co,1
芻,3727,co,1
蹉,4802,co,1
嵯,6100,co,1
礎,0694,co,2
楚,1137,co,2
錯,0721,co,3
挫,2382,co,3
銼,3258,co,3
鋤,2950,co,4
鶵,4956,co,4
矬,5631,co,4
鉏,6256,co,4
坐,0699,co,5
桌,1487,coek,3
卓,2456,coek,3
灼,2901,coek,3
戳,3323,coek,3
焯,3442,coek,3
綽,3487,coek,3
鵲,4161,coek,3
芍,4494,coek,3
噱,5872,coek,3
倬,6061,coek,3
潟,6146,coek,3
婥,7103,coek,3
槍,1027,coeng,1
昌,1224,coeng,1
窗,1368,coeng,1
倡,1766,coeng,1
猖,2854,coeng,1
囪,2944,coeng,1
羥,3074,coeng,1
嗆,3878,coeng,1
菖,4043,coeng,1
娼,4441,coeng,1
蹌,4740,coeng,1
鏘,4806,coeng,1
閶,5277,coeng,1
倀,5540,coeng,1
鯧,5702,coeng,1
錆,6534,coeng,1
蹡,6966,coeng,1
鎗,7104,coeng,1
搶,1509,coeng,2
唱,0802,coeng,3
暢,2052,coeng,3
悵,3865,coeng,3
瑒,4335,coeng,3
韔,6037,coeng,3
鬯,6279,coeng,3
熗,6752,coeng,3
長,0084,coeng,4
場,0317,coeng,4
牆,1501,coeng,4
祥,1518,coeng,4
詳,1603,coeng,4
腸,2040,coeng,4
墻,2120,coeng,4
翔,2543,coeng,4
薔,3702,coeng,4
庠,5216,coeng,4
檣,5438,coeng,4
戕,5574,coeng,4
萇,5985,coeng,4
嬙,6630,coeng,4
啋,7110,coi,1
採,0352,coi,2
彩,1078,coi,2
采,1320,coi,2
睬,4093,coi,2
茞,5803,coi,2
寀,6333,coi,2
跴,7108,coi,2
綵,7111,coi,2
菜,0767,coi,3
賽,1005,coi,3
塞,1049,coi,3
蔡,2049,coi,3
